id_trecho_,ano,n_focos,n_sinistros,fluxo,dist_m,taxa_sinistros,taxa_focos
151228,2020,0,13,2816091.449235,3711.783151907877,1.2436953262535966,0
151229,2020,0,55,2657461.321385,17804.77601765678,1.1624096926380727,0
151230,2020,1,0,1376859.9214950001,9098.330191773497,0,0.07982676829043363
151231,2020,3,28,1312123.0389649998,42066.96985313284,0.507273575463003,0.05435074022817889
151232,2020,0,0,1312123.0389649998,32417.65362044275,0,0
151233,2020,3,7,1131753.5523599999,36951.644757712056,0.1673834055173004,0.07173574522170019
151234,2020,1,24,1131753.5523599999,38046.71896626579,0.5573681717390248,0.023223673822459365
151235,2020,1,22,1131753.5523599999,5836.711478202239,3.3304474755892373,0.1513839761631471
151236,2020,1,20,993955.1600299999,29556.356822088528,0.6807886427536147,0.03403943213768073
151237,2020,0,5,993955.1600299999,15113.463714028117,0.33284282852670216,0
151238,2020,3,2,1014793.94662,23007.253263773768,0.08566183127771645,0.1284927469165747
151254,2020,1,0,436076.77923,55268.581310649904,0,0.0414914604509078
151256,2020,0,1,NA,5234.604568298642,NA,NA
162244,2020,0,0,NA,33354.22961107713,NA,NA
151257,2020,0,1,378322.411305,61135.61605448602,0.043235813820961706,0
151258,2020,0,0,303690.91569,39004.973259787344,0,0
151259,2020,1,0,302499.9009800001,26022.04678015067,0,0.12703790113085148
151260,2020,0,0,298093.25233,1805.2659131111404,0,0
151261,2020,0,0,400770.742045,1334.5450826218894,0,0
151262,2020,0,0,400770.7420450001,547.2347560499742,0,0
151263,2020,0,0,283496.60376,914.7956644121404,0,0
151264,2020,0,0,283496.60375999997,5715.97976437629,0,0
151265,2020,0,0,NA,16390.344877137188,NA,NA
151269,2020,2,0,NA,87957.47980133771,NA,NA
151270,2020,3,2,1281249.0270550004,23164.64185472259,0.06738618299852858,0.10107927449779287
151271,2020,7,5,685989.9352000001,62428.28518868224,0.11675375439008907,0.1634552561461247
158344,2020,0,0,191203.285935,1137.2177315211293,0,0
158345,2020,0,0,415642.66376,870.5065244908758,0,0
158342,2020,0,0,821566.7747400001,3768.991480039872,0,0
158343,2020,0,0,821566.7747400001,3698.94866458685,0,0
162118,2020,0,0,NA,3972.4386752149644,NA,NA
164766,2020,0,0,NA,2980.1309438201,NA,NA
151316,2020,5,0,NA,191127.67757654746,NA,NA
151317,2020,0,0,NA,32815.202479010295,NA,NA
151318,2020,0,0,NA,14954.909197587765,NA,NA
151319,2020,0,0,NA,43783.977906746884,NA,NA
151320,2020,0,0,764661.1318250002,4537.096723490518,0,0
151321,2020,0,0,764661.1318250002,1327.9899191492989,0,0
151322,2020,0,0,454595.84482000006,21956.4152333096,0,0
151323,2020,0,0,454595.84482000006,2158.1979469036414,0,0
151324,2020,1,0,437665.20813,40298.1391649449,0,0.05669868462121666
158841,2020,0,0,437665.20813,1616.4338150169772,0,0
151325,2020,0,0,440682.92483499995,23205.002035948713,0,0
151326,2020,1,0,446643.05837999994,17976.018676815427,0,0.12455062198937596
151327,2020,0,0,446643.05837999994,2696.8960713631755,0,0
151328,2020,2,0,1432784.482005,17052.522593557955,0,0.08185788000270483
158842,2020,0,0,1432784.482005,8022.258388605759,0,0
151329,2020,0,0,1432784.482005,12259.712949039997,0,0
151330,2020,2,0,1196232.980315,34079.058144538314,0,0.04905989793492176
151331,2020,0,0,1239004.97132,4871.662608436425,0,0
158845,2020,0,0,938146.2012250001,9732.304675817195,0,0
151332,2020,1,0,938146.2012250001,28206.18901575074,0,0.037790711078026756
151333,2020,1,0,1279681.60938,17139.54406013833,0,0.04559306687626896
151334,2020,0,0,615025,8146.734723181705,0,0
151335,2020,2,0,701452.4469900001,50072.70688954661,0,0.05694173442207319
151336,2020,0,0,1501949.5828600002,1144.4742550987883,0,0
151337,2020,0,0,NA,22821.033262016776,NA,NA
151338,2020,0,0,398639.95928,86.73386238477852,0,0
151339,2020,1,0,NA,33366.942470724185,NA,NA
151340,2020,1,0,NA,39425.04435391926,NA,NA
162539,2020,0,0,NA,19788.19957742437,NA,NA
151341,2020,0,0,2477952.3160750004,3167.944733012778,0,0
151342,2020,0,0,NA,16129.39070632122,NA,NA
151343,2020,0,0,935312.68834,1899.4614359674301,0,0
151344,2020,0,1,NA,36436.373365785825,NA,NA
151345,2020,0,0,935312.68834,4160.888345533928,0,0
151346,2020,0,0,954825.1094600001,5363.259216806779,0,0
151347,2020,0,0,NA,41004.16592283737,NA,NA
151348,2020,0,0,NA,10225.829098290838,NA,NA
151349,2020,0,0,NA,19902.017201591672,NA,NA
151350,2020,0,5,1507914.206635,1654.6009674673664,2.004010983770679,0
151351,2020,0,2,NA,33628.22184560094,NA,NA
151352,2020,0,0,NA,16789.5002359422,NA,NA
151353,2020,0,1,NA,23315.40205222352,NA,NA
158844,2020,0,0,NA,5676.169414640516,NA,NA
151290,2020,0,0,NA,2414.041582407758,NA,NA
151291,2020,0,44,NA,3678.250293427127,NA,NA
151292,2020,0,0,NA,2364.8987638782082,NA,NA
151293,2020,0,148,NA,9911.761828434453,NA,NA
151294,2020,0,0,NA,3831.8793949991996,NA,NA
151295,2020,0,7,NA,2342.9133998035345,NA,NA
151296,2020,0,15,NA,9016.187109405097,NA,NA
151297,2020,0,5,NA,2010.9051337787732,NA,NA
151298,2020,0,0,NA,332.7100212595103,NA,NA
151299,2020,0,9,NA,5778.176927477027,NA,NA
151300,2020,0,0,NA,7414.977972868207,NA,NA
151301,2020,0,2,NA,2940.1426536268036,NA,NA
151302,2020,0,7,NA,5629.475524400535,NA,NA
151303,2020,0,0,NA,966.9791808688332,NA,NA
151304,2020,0,0,NA,3711.783151907877,NA,NA
151305,2020,0,0,NA,17804.77601765678,NA,NA
151306,2020,1,10,NA,9098.330191773497,NA,NA
151307,2020,3,0,NA,42066.96985313284,NA,NA
151308,2020,0,32,NA,32417.65362044275,NA,NA
162032,2020,3,0,NA,36951.644757712056,NA,NA
